6;1;9;1;3499,00;3499,00;3499,00;Shipped;2024-12-20 00:47:22
7;1;5;4;1099,00;1099,00;4396,00;Shipped;2024-12-20 00:53:09
8;1;1;1;1169,10;1299,00;1169,10;Shipped;2024-12-20 00:53:23
9;1;1;2;1169,10;1299,00;2338,20;Pending;2024-12-20 13:07:38
10;1;9;3;3499,00;3499,00;10497,00;Pending;2024-12-20 16:05:35
11;1;3;3;2499,00;2499,00;7497,00;Pending;2024-12-20 16:14:16
11;1;1;3;1169,10;1299,00;3507,30;Pending;2024-12-20 16:14:16
12;1;5;1;1099,00;1099,00;1099,00;Pending;2024-12-20 16:14:49
12;1;8;1;1499,00;1499,00;1499,00;Pending;2024-12-20 16:14:49
13;1;6;3;899,00;899,00;2697,00;Pending;2024-12-20 16:28:10
14;1;1;3;1169,10;1299,00;3507,30;Shipped;2024-12-20 18:21:50
15;2;1;4;1169,10;1299,00;4676,40;Pending;2024-12-21 02:12:10
